RTN_prob,CNN_prob,label
0.0,4.338539e-07,1
0.02,6.011098e-08,1
0.19,5.8242335e-07,1
0.04,1.9692036e-08,1
0.01,2.8368728e-05,1
0.01,1.6813284e-16,1
0.12,0.00041362806,1
0.02,3.163198e-07,1
0.08,9.828882e-05,1
0.01,5.477239e-07,1
0.08,3.7080896e-05,1
0.0,1.1204662e-07,1
0.04,0.0001434392,1
0.29,2.8376228e-06,1
0.04,2.2451305e-11,1
0.1,9.7663765e-08,1
0.02,7.238028e-12,1
0.02,7.2886174e-28,1
0.01,3.7672233e-18,1
0.18,1.0751705e-15,1
0.08,4.1082636e-18,1
0.1,1.6698596e-18,1
0.11,5.494707e-22,1
0.84,3.0234546e-14,1
0.26,7.6419086e-19,1
0.03,4.776791e-10,1
0.11,4.08803e-09,1
0.2,1.8417767e-12,1
0.0,4.6869713e-11,1
0.0,1.5392902e-20,1
0.84,1.3066807e-08,1
0.05,2.2838913e-10,1
0.08,7.8952475e-23,1
0.03,6.8228684e-07,1
0.11,1.1380751e-13,1
0.84,1.0136379e-08,1
0.24,1.15027545e-11,1
0.03,1.125927e-07,1
0.26,1.9471051e-15,1
0.05,2.223879e-06,1
0.0,4.290805e-30,1
0.09,5.999172e-09,1
0.06,5.453361e-22,1
0.17,7.5675143e-06,1
0.0,1.2975751e-07,1
0.08,2.5498666e-11,1
0.09,3.0691847e-08,1
0.05,3.4610695e-14,1
0.03,1.924395e-07,1
0.05,1.6187671e-11,1
0.1,1.958344e-13,1
0.06,1.9581086e-13,1
0.14,2.0845224e-21,1
0.04,1.1591977e-07,1
0.3,1.7787864e-08,1
0.01,3.0649313e-16,1
0.23,1.0123959e-11,1
0.84,6.5539445e-09,1
0.37,6.729241e-10,1
0.17,5.962781e-09,1
0.4,1.4493993e-11,1
0.55,9.6649064e-11,1
0.16,0.013784599,1
0.05,6.313316e-11,1
0.12,2.8290462e-08,1
0.06,1.896083e-10,1
0.18,0.00027578324,1
0.01,1.9967345e-15,1
0.0,1.6538229e-12,1
0.85,3.2986955e-07,1
0.01,4.7692167e-10,1
0.0,2.270286e-05,1
0.0,1.2207879e-07,1
0.0,5.3458803e-31,1
0.0,1.2475113e-09,1
0.0,3.082332e-08,1
0.0,1.5524655e-06,1
0.0,6.192336e-08,1
0.08,3.0573187e-07,1
0.0,1.8311387e-16,1
0.01,3.9161776e-15,1
0.03,3.7344156e-10,1
0.06,0.022181941,1
0.01,6.2437874e-11,1
0.18,1.503613e-05,1
0.08,0.00092036225,1
0.0,2.2487916e-10,1
0.04,8.680781e-06,1
0.01,3.5298825e-08,1
0.15,1.4134285e-05,1
0.01,3.9084347e-10,1
0.04,3.9875977e-06,1
0.04,1.4584162e-09,1
0.01,5.913738e-09,1
0.07,2.9370821e-09,1
0.03,1.046242e-14,1
0.02,1.0511099e-15,1
0.1,1.1960417e-06,1
0.0,2.6081624e-13,1
0.05,5.794908e-10,1
0.0,2.2736697e-09,1
0.01,1.2968883e-15,1
0.02,3.3292687e-12,1
0.28,1.5255751e-14,1
0.11,7.090052e-11,1
0.01,1.924072e-07,1
0.16,0.0,1
0.08,1.5420319e-05,1
0.12,1.338626e-10,1
0.03,2.1804579e-12,1
0.0,4.611777e-09,1
0.02,5.441328e-06,1
0.0,1.7622787e-09,1
0.0,1.1932114e-09,1
0.01,1.4643172e-16,1
0.01,4.216426e-11,1
0.18,5.753004e-10,1
0.04,2.1949432e-14,1
0.02,9.238534e-07,1
0.01,1.7494219e-07,1
0.16,8.0898116e-10,1
0.0,8.927757e-11,1
0.01,8.0932604e-12,1
0.01,9.493386e-07,1
0.01,0.00078296714,1
0.0,1.0473103e-10,1
0.0,2.7931286e-08,1
0.0,3.115177e-11,1
0.02,0.00021288512,1
0.0,2.0795643e-08,1
0.05,2.8837584e-07,1
0.0,1.418803e-07,1
0.0,9.300045e-10,1
0.0,2.68375e-07,1
0.0,6.507619e-09,1
0.02,3.278002e-09,1
0.0,2.9756222e-07,1
0.0,1.5136425e-10,1
0.03,1.1614079e-06,1
0.16,5.630266e-23,1
0.1,2.46266e-36,1
0.12,1.2149776e-05,1
0.0,1.8347567e-09,1
0.02,1.9813507e-07,1
0.03,2.2058494e-08,1
0.0,5.9194116e-10,1
0.0,7.449777e-08,1
0.15,7.928193e-11,1
0.02,2.1029305e-07,1
0.1,9.605574e-09,1
0.03,3.2436379e-10,1
0.1,2.3497085e-20,1
0.03,5.223637e-16,1
0.01,1.01748575e-10,1
0.15,1.7058517e-09,1
0.04,7.4427675e-07,1
0.04,6.8181134e-07,1
0.18,3.2425847e-11,1
0.06,1.1313701e-07,1
0.15,4.3923493e-11,1
0.02,5.4669176e-08,1
0.03,0.008011191,1
0.14,5.201577e-34,1
0.15,1.6056038e-10,1
0.0,3.9995398e-33,1
0.02,1.4047041e-11,1
0.0,6.138525e-07,1
0.06,3.3167234e-07,1
0.19,6.067101e-12,1
0.01,5.1709277e-13,1
0.01,7.332908e-08,1
0.0,2.5411743e-12,1
0.0,1.8159534e-12,1
0.0,4.019324e-14,1
0.04,6.5766967e-13,1
0.0,4.043305e-11,1
0.01,4.30113e-22,1
0.0,1.5050918e-18,1
0.03,3.2122058e-15,1
0.0,8.449483e-12,1
0.0,7.731474e-15,1
0.0,1.6233435e-18,1
0.0,1.2664497e-15,1
0.0,8.3960047e-19,1
0.1,7.073231e-06,1
0.01,4.4146347e-21,1
0.04,8.469552e-09,1
0.15,4.203949e-10,1
0.01,1.5281965e-21,1
0.07,1.5928272e-09,1
0.09,1.2599741e-10,1
0.01,5.333425e-12,1
